i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
652 652 652 652
0 1442838474759733 1.96e-10 -8.997e-09
1 1442838474946000 1.96e-10 8.997e-09
2 0 6.438e-09 2.992e-09
3 0 6.438e-09 -2.992e-09
4 0 7.95e-10 6.579e-09
5 0 7.105e-09 2.9e-09
6 0 7.105e-09 -2.9e-09
7 0 1.29e-10 4.495e-09
8 0 1.6e-10 -4.9e-09
9 0 1.6e-10 3.3e-09
10 0 1.56e-10 -6.102e-09
11 0 6.193e-09 -1.2843e-08
12 0 6.193e-09 1.2843e-08
13 0 1.172e-09 -2.376e-09
14 0 1.07e-10 6.18e-10
15 0 1.057e-09 1.736e-09
16 0 6.93e-10 -2.145e-09
17 0 1.241e-09 -2.161e-09
18 0 7.98e-10 6.379e-09
19 0 2.21e-10 1.613e-09
20 0 1.043e-09 -1.802e-09
21 0 6.907e-09 5.12e-09
22 0 6.907e-09 -5.12e-09
23 0 1.23e-10 -6.01e-10
24 0 1.141e-09 -6.288e-09
25 0 8.98e-10 -2.161e-09
26 0 2.83e-10 6.497e-09
27 0 1.05e-10 6.58e-09
28 0 2.39e-10 -3.149e-09
29 0 2.1e-10 4.8e-10
30 0 2.63e-10 -2.108e-09
31 0 1.09e-10 1.769e-09
32 0 6.34e-10 -1.931e-09
33 0 2.84e-10 -6.307e-09
34 0 1.187e-09 -6.075e-09
35 0 6.6e-10 6.723e-09
36 0 6.48e-10 3.21e-10
37 0 2.7e-10 2.152e-09
38 0 1.2178e-08 4.75e-09
39 0 1.2178e-08 -4.75e-09
40 0 1.2513e-08 5.539e-09
41 0 1.2513e-08 -5.539e-09
42 0 2.38e-10 -4.53e-10
43 0 1.07e-10 -2.023e-09
44 0 6.935e-09 6.228e-09
45 0 6.935e-09 -6.228e-09
46 0 5.701e-09 -1.2083e-08
47 0 5.701e-09 1.2083e-08
48 0 1.2935e-08 -9.405e-09
49 0 1.2935e-08 9.405e-09
50 0 9.225e-09 -6.385e-09
51 0 9.225e-09 6.385e-09
52 0 1.048e-09 6.858e-09
53 0 2.84e-10 -7.4e-11
54 0 9.799e-09 -9.776e-09
55 0 9.799e-09 9.776e-09
56 0 1e-09 7.647e-09
57 0 1e-09 -7.647e-09
58 0 7.22e-10 1.26e-10
59 0 1.2634e-08 3.908e-09
60 0 1.2634e-08 -3.908e-09
61 0 2.73e-10 1.29e-10
62 0 1.2092e-08 -3.12e-09
63 0 1.2092e-08 3.12e-09
64 0 1.2122e-08 9.702e-09
65 0 1.2122e-08 -9.702e-09
66 0 2.79e-10 -4.699e-09
67 0 2.8e-10 -5.1e-09
68 0 2.82e-10 3.501e-09
69 0 2.8e-10 3.099e-09
70 0 2.47e-10 4.29e-09
71 0 2.47e-10 4.682e-09
72 0 8.436e-09 -6.171e-09
73 0 8.436e-09 6.171e-09
74 0 4.52e-10 -3.19e-09
75 0 8.574e-09 3.338e-09
76 0 8.574e-09 -3.338e-09
77 0 7.23e-10 -4.996e-09
78 0 7.23e-10 -4.805e-09
79 0 1.045e-09 4.47e-10
80 0 7.05e-10 -6.019e-09
81 0 7.17e-10 -6.213e-09
82 0 2.76e-10 -5.905e-09
83 0 7.3e-10 3.204e-09
84 0 7.31e-10 3.397e-09
85 0 6.75e-10 6.223e-09
86 0 2.62e-10 2.369e-09
87 0 3.123e-09 -1.178e-08
88 0 3.123e-09 1.178e-08
89 0 8.669e-09 -8.906e-09
90 0 8.669e-09 8.906e-09
91 0 1.1349e-08 -3.202e-09
92 0 1.1349e-08 3.202e-09
93 0 4.64e-10 3.06e-10
94 0 5.878e-09 -1.0711e-08
95 0 5.878e-09 1.0711e-08
96 0 2.6e-10 5.402e-09
97 0 6.222e-09 -4.607e-09
98 0 6.222e-09 4.607e-09
99 0 6.303e-09 -9.882e-09
100 0 6.303e-09 9.882e-09
101 0 6.959e-09 -9.717e-09
102 0 6.959e-09 9.717e-09
103 0 6.214e-09 -1.1332e-08
104 0 6.214e-09 1.1332e-08
105 0 4.85e-10 2.482e-09
106 0 3.226e-09 1.0325e-08
107 0 3.226e-09 -1.0325e-08
108 0 6.43e-10 2.396e-09
109 0 1.09e-10 2.035e-09
110 0 8.86e-10 1.42e-10
111 0 1.3151e-08 8.646e-09
112 0 1.3151e-08 -8.646e-09
113 0 1.0599e-08 -9.908e-09
114 0 1.0599e-08 9.908e-09
115 0 1.0573e-08 -5.524e-09
116 0 1.0573e-08 5.524e-09
117 0 9.54e-09 9.054e-09
118 0 9.54e-09 -9.054e-09
119 0 1.0985e-08 -6.405e-09
120 0 1.0985e-08 6.405e-09
121 0 1.008e-09 1.235e-09
122 0 1.008e-09 -1.236e-09
123 0 1.006e-09 7.366e-09
124 0 1.005e-09 9.67e-10
125 0 2.4e-10 -5.503e-09
126 0 1.214e-09 7.758e-09
127 0 1.214e-09 -7.758e-09
128 0 6.58e-10 -1.31e-10
129 0 7.734e-09 3.602e-09
130 0 7.734e-09 -3.602e-09
131 0 2.892e-09 -1.2548e-08
132 0 2.892e-09 1.2548e-08
133 0 5.08e-10 -2.1e-10
134 0 7.758e-09 -6.715e-09
135 0 7.758e-09 6.715e-09
136 0 2.984e-09 9.607e-09
137 0 2.984e-09 -9.607e-09
138 0 2.49e-10 5.592e-09
139 0 1.07e-10 8.62e-10
140 0 2.18e-10 -1.601e-09
141 0 1.1342e-08 8.309e-09
142 0 1.1342e-08 -8.309e-09
143 0 1.064e-08 -7.965e-09
144 0 1.064e-08 7.965e-09
145 0 4.54e-10 -1.9e-09
146 0 2.45e-10 7.389e-09
147 0 1.11e-10 7.255e-09
148 0 1.3296e-08 5.865e-09
149 0 1.3296e-08 -5.865e-09
150 0 2.4e-10 3.897e-09
151 0 5.737e-09 1.3538e-08
152 0 5.737e-09 -1.3538e-08
153 0 5.87e-10 -2.485e-09
154 0 5.25e-10 -2.324e-09
155 0 2.45e-10 -1.211e-09
156 0 1.11e-10 -1.345e-09
157 0 2.45e-10 1.211e-09
158 0 1.11e-10 1.345e-09
159 0 2.74e-10 -2.319e-09
160 0 8.09e-10 7.737e-09
161 0 7.45e-10 7.94e-09
162 0 8.09e-10 -7.737e-09
163 0 7.45e-10 -7.94e-09
164 0 6.112e-09 3.671e-09
165 0 6.112e-09 -3.671e-09
166 0 2.4e-10 9.85e-10
167 0 1.002e-09 -7.37e-09
168 0 2.17e-10 7.002e-09
169 0 2.588e-09 -1.1084e-08
170 0 2.588e-09 1.1084e-08
171 0 8.572e-09 -8.055e-09
172 0 8.572e-09 8.055e-09
173 0 3.29e-10 -1.0198e-08
174 0 3.29e-10 1.0198e-08
175 0 8.39e-10 -2.713e-09
176 0 1.007e-09 -2.803e-09
177 0 1.07e-10 -1.757e-09
178 0 8.154e-09 -9.297e-09
179 0 8.154e-09 9.297e-09
180 0 4.78e-10 6.187e-09
181 0 2.75e-10 6.279e-09
182 0 5.186e-09 7.818e-09
183 0 5.186e-09 -7.818e-09
