status Javgctr z Fbare0 Fbare1 Javgbtm i Fshear1 Fshear2 Fp2 Fshear0 r Fp1 Fp0 Fbarevol0 Fbarevol1 Fbarevol2 Javgtop Fbare2
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 1410
1 -1.23668956348 7.989e-09 2.25248331578 -0.0680429573197 -1.23461434968 0 -0.000390805984529 0.00201554124696 0.296738637219 0.00159599169313 3.207e-09 -0.0459236788391 0.242400937807 0.0 0.0 0.0 -1.23612069701 2.22712891594
1 -1.22384737221 7.896e-09 2.55648130619 0.546339404374 -1.22150256077 1 0.000517627097854 0.00138359873623 0.307526491607 0.00116091183757 3.218e-09 -0.0603902428528 0.30526225798 0.0 0.0 0.0 -1.22337476688 2.46799231525
1 13.0462120262 -3.035e-09 -3.55559090917 0.0877504241905 13.0480173155 2 5.67197487402e-05 0.000160426496432 -0.0068323768463 0.000374580408478 3.494e-09 -0.00828614950542 -0.479024811453 -3.43421761229 -0.0283409645065 -0.0330427339453 13.0461321145 0.0776862238208
1 8.28194669502 -8.372e-09 0.449554872234 -0.256698704922 8.28277683182 3 -7.51937086882e-05 -0.00737357311854 0.232735169108 0.000521185835569 6.63e-10 0.010446434686 -0.0255284031903 -0.108307885441 0.0471825672752 1.60373815619 8.28142365955 1.7754997142
1 7.74437861008 -8.396e-09 -0.768968662114 0.160652983991 7.74557323343 4 7.31820004154e-05 0.00058623499069 0.161144397962 -0.00106199602182 2.596e-09 -0.0104596012129 -0.0221956523142 -0.203033509853 -0.020560255956 1.06841183706 7.74363333906 1.76248750403
1 16.1947578614 8.347e-09 -0.585123336124 0.0292089351445 16.195496472 5 0.000336647739402 -0.00143092696939 0.00480006967269 -0.00044393638803 2.836e-09 -0.0229756754245 0.0127100734262 -0.12685756846 -0.118895608745 -0.395149993591 16.195994165 -1.56332038507
1 19.8133172144 3.36e-10 1.84099592164 0.0168990997007 20.0049394669 6 -0.00123110731691 -0.194112319758 -0.893567861681 0.00235981549149 1.69e-10 0.0380860401792 -0.0546114815129 2.24063085153 0.0544182139464 -0.586370817527 19.7036527019 -0.644071213952
1 19.6504243547 3.68e-10 2.33087874022 0.0783842664444 19.8440473725 7 0.000297550730551 -0.176695576843 -0.826613496256 0.000962440695685 2.18e-10 0.0731132134157 0.0814756267151 2.79536574044 0.0331673325934 -0.484314822987 19.5355234983 -0.559674736056
1 18.751510059 4.249e-09 1.63551152499 0.026143369152 18.7533156751 8 4.50405717745e-05 -0.196979181587 -0.719120897055 0.00025383136819 1.6e-10 -0.000563810983571 0.024975114751 2.01076197431 0.0596420732003 -0.814060844923 18.7523216904 -0.713360445969
1 7.83714428673 -8.371e-09 -0.637948409562 -0.10819008957 7.83814151969 9 1.54714047977e-05 -0.000804831733505 0.1707565462 -0.000998466693351 2.697e-09 0.0025103902149 -0.0495500322708 -0.316227654038 0.0109592234196 1.10516215101 7.83640896404 1.33342856469
