i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
2535 2535 2535 2535
0 0 1.0443e-08 -5.74e-09
1 0 1.0449e-08 5.771e-09
2 0 1.0824e-08 -5.875e-09
3 0 1.0822e-08 5.899e-09
4 0 8.932e-09 -6.506e-09
5 0 8.87e-09 -6.133e-09
6 0 8.119e-09 1.0754e-08
7 0 9.413e-09 -6.686e-09
8 0 8.862e-09 6.507e-09
9 0 9.231e-09 6.376e-09
10 0 9.683e-09 -1.1023e-08
11 0 9.421e-09 -7.083e-09
12 0 8.19e-10 2.864e-09
13 0 8.1e-10 2.771e-09
14 0 8.533e-09 1.0724e-08
15 0 9.79e-10 -2.651e-09
16 0 5.4e-10 -6.51e-09
17 0 1.098e-09 -7.14e-09
18 0 1.103e-09 -7.44e-10
19 0 1.103e-09 7.44e-10
20 0 7.272e-09 -7.415e-09
21 0 7.19e-10 -3.736e-09
22 0 1.352e-09 1.1685e-08
23 0 1.352e-09 -1.1685e-08
24 0 7.629e-09 -7.243e-09
25 0 9.302e-09 -1.0929e-08
26 0 1.351e-08 -1.2032e-08
27 0 5.086e-09 1.1522e-08
28 0 5.073e-09 -1.1543e-08
29 0 7.3e-11 5.002e-09
30 0 1.037e-09 2.951e-09
31 0 8.48e-10 3.372e-09
32 0 1.3876e-08 -1.1876e-08
33 0 6.29e-10 -6.549e-09
34 0 1.293e-09 8.053e-09
35 0 1.293e-09 -8.053e-09
36 0 7.26e-10 6.194e-09
37 0 1.3791e-08 1.2063e-08
38 0 1.3619e-08 1.1692e-08
39 0 3.992e-09 1.0984e-08
40 0 8.08e-10 6.156e-09
41 0 9.51e-10 -1.1556e-08
42 0 9.51e-10 1.1556e-08
43 0 5.8e-11 -7.039e-09
44 0 1.064e-09 -2.641e-09
45 0 1.38e-10 -6.986e-09
46 0 6.6e-11 6.399e-09
47 0 7.9e-11 -2.2e-09
48 0 7e-11 -3.817e-09
49 0 7.938e-09 -8.454e-09
50 0 8.768e-09 1.2962e-08
51 0 8.105e-09 -7.544e-09
52 0 8.308e-09 -1.0688e-08
53 0 5.207e-09 1.1191e-08
54 0 5.193e-09 -1.1212e-08
55 0 1.23e-10 -5.275e-09
56 0 7.193e-09 6.774e-09
57 0 4.186e-09 1.069e-08
58 0 3.76e-10 -4.273e-09
59 0 8.619e-09 -2.342e-09
60 0 8.619e-09 2.342e-09
61 0 7.581e-09 -8.502e-09
62 0 1.1e-09 -7.576e-09
63 0 1.1e-09 7.576e-09
64 0 1.36e-10 -3.944e-09
65 0 6.01e-10 -7.941e-09
66 0 6.01e-10 7.941e-09
67 0 1.25e-10 -3.737e-09
68 0 1.11e-09 2.853e-09
69 0 1.221e-09 -9.12e-09
70 0 1.221e-09 9.12e-09
71 0 9.25e-10 2.7e-09
72 0 7.7e-11 -0.0
73 0 1.3523e-08 -3.501e-09
74 0 1.3523e-08 3.501e-09
75 0 3.79e-10 -3.379e-09
76 0 8.51e-10 3.283e-09
77 0 8.5e-10 -4.117e-09
78 0 5.06e-10 -7.897e-09
79 0 5.06e-10 7.897e-09
80 0 1.17e-09 -4.731e-09
81 0 1.086e-09 -4.664e-09
82 0 1.31e-10 -1.372e-09
83 0 1.31e-10 7.228e-09
84 0 3.84e-10 -4.38e-09
85 0 9.31e-10 -4.164e-09
86 0 8.6e-10 -9.129e-09
87 0 8.6e-10 9.129e-09
88 0 1.42e-10 5.71e-10
89 0 1.42e-10 -5.71e-10
90 0 5.1e-10 -3.542e-09
91 0 1.28e-10 6.083e-09
92 0 5.9e-11 2.2e-09
93 0 1.1642e-08 2.057e-09
94 0 1.1642e-08 -2.057e-09
95 0 6.1e-11 -1.436e-09
96 0 6.1e-11 7.164e-09
97 0 4.018e-09 -1.1028e-08
98 0 4.21e-09 -1.0732e-08
99 0 8.776e-09 1.0359e-08
100 0 8.712e-09 -1.0339e-08
101 0 1.176e-09 2.639e-09
