status Fshear[0] Fshear[1] Javgbtm i Fp[1] Fbare[1] Fp[0] Fshear[2] r Fbare[0] Fbare[2] Fp[2] Javgtop z Javgctr
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293
1 10.723609015 -20.8159336206 58.5084161342 0 -28.6933880516 1.43570171727e-17 29.5410087275 -7.85798215958 9.015e-09 -1.77011267865e-16 -3.47259140798e-15 -153.300759066 58.5084140402 -1.21131e-08 58.5084158883
1 16.6425103001 -17.3826285184 59.7430475352 1 -20.64490538 -1.98186191862e-17 42.1110886955 -6.00692036831 9.7113e-09 -1.28987893863e-17 -3.54832531728e-15 -173.55085318 59.74304531 -1.15694e-08 59.7430472711
1 10.7993356976 -14.5303427742 55.9593759822 2 -48.6426742753 -1.67969378487e-16 23.8326878519 -3.79211000544 1.24243e-08 2.25196287441e-17 -3.61182272002e-15 -180.580369563 55.9593740657 4.8806e-09 55.9593757662
1 12011075.806 -2264899.66829 60.8450375376 3 -32.0928350512 1.12489633487e-17 7.81277613599 3714277.84791 1.24243e-08 -9.34876291091e-17 -3.5239743452e-15 -158.864646236 60.8450354316 -4.8806e-09 60.8450373259
1 21.220502126 -32.057879035 59.220737631 4 -42.7004255895 4.50591694852e-17 -7.66017620303 -6.48062775573 6.0132e-09 -1.80270866158e-16 -3.45830384151e-15 -155.792123346 59.2207356198 -5.9089e-09 59.2207373993
1 23.3780868403 -14.256123836 57.2163894865 5 -52.7954773455 -4.88118162463e-17 -10.2832156544 -14.688607641 6.0135e-09 -1.83634502609e-16 -3.64705861251e-15 -170.754900573 57.2163873058 5.9087e-09 57.2163892736
1 14543217.5491 -2484801.48804 58.4051973856 6 -61.0213610622 -1.44358825121e-16 10.5338541621 -3801898.74651 1.22124e-08 -2.43737530351e-17 -3.60376780947e-15 -148.718743457 58.4051950964 3.7273e-09 58.4051972141
1 9.38453191513 -20.336572504 60.6337284959 7 -24.5431500531 -8.81115679111e-17 37.2883719365 -15.8056412362 1.22124e-08 3.79133303409e-17 -3.51462844493e-15 -165.851444139 60.6337263615 -3.7273e-09 60.6337282642
1 7.00483716736 -19.7605511753 48.1105560009 8 -60.4500980734 -9.2137220164e-17 41.213058375 -14.6673676881 5.463e-10 1.96980957923e-18 -3.37066056157e-15 -123.788475934 48.1105549777 -1.11252e-08 48.1105558715
1 10.4591262596 -20.5432258491 58.5732382399 9 -70.6593553872 -2.83179364054e-16 4.25108959479 -14.0347965097 5.463e-10 -5.30394755425e-17 -3.48037213647e-15 -178.580521097 58.5732352612 1.11252e-08 58.5732380561
1 22.1680441456 2.45844404705 56.6055060577 10 -108.084471204 -3.1079605899e-16 -5.38842132659 0.749483380541 9.748e-09 -1.52892991099e-16 -3.74374189712e-15 -192.727642599 56.6055037843 1.16105e-08 56.6055058749
1 10.9770679478 -25.2624933621 55.3506635112 11 -45.2750507941 -1.35497671836e-16 -0.629957720044 -7.93364121464 9.0511e-09 -1.06114327698e-16 -3.75770992975e-15 -183.36753439 55.350662354 1.21469e-08 55.350663367
1 9.61096633833 -27.7673413781 57.7178748809 12 -25.1622892624 -7.09348583389e-17 32.2773219585 -7.58815062793 5.1469e-09 -1.79738114844e-16 -3.40073670809e-15 -145.613508343 57.717872956 -5.6381e-09 57.7178746548
1 25.0027731674 -10.8739513134 56.7814127215 13 -63.9534054535 -2.96683716825e-16 -7.77350549267 -8.65423720445 5.1469e-09 -2.56419156987e-17 -3.83496036317e-15 -165.530757089 56.7814112121 5.6381e-09 56.7814125505
1 9.53603887808 -23.4847762487 58.5458110016 14 -48.8698765053 -3.11978820569e-17 31.1913955886 -6.84064039553 1.43052e-08 -1.28699360966e-16 -3.58413894707e-15 -160.279487194 58.5458087036 6.0962e-09 58.5458108013
1 19.7600331366 -12.4551867334 55.0593092926 15 -34.0562474069 -9.91551993385e-17 26.1341729598 -13.0399806389 1.43052e-08 -1.66928055051e-16 -3.45877281155e-15 -154.955417352 55.0593075864 -6.0962e-09 55.0593090837
1 -0.108163792182 -25.2164712821 53.3260524646 16 -17.7387304196 2.14671859455e-17 42.3713495629 -13.8854275579 5.0928e-09 -1.66918455716e-16 -3.50645715538e-15 -168.375694441 53.3260510964 -1.36463e-08 53.3260523052
1 7.68128313529 -24.8349144716 59.7867843224 17 -47.2104182431 -6.253741044e-17 2.4154875088 -12.7580816663 5.0928e-09 -1.46713942488e-16 -3.62892276097e-15 -163.288684552 59.7867820591 1.36463e-08 59.7867841543
1 11.1528873431 -11.568364509 60.7595598283 18 -65.8004718434 -1.48281233657e-16 25.3815419991 -7.97881708223 1.38192e-08 -2.8857894678e-17 -3.566777439e-15 -142.850926017 73.8932704463 7.0759e-09 60.7595598059
1 13.7369672523 -13.4512096879 38.4464949941 19 -42.2921648864 -5.33763567621e-18 24.3283930431 -14.2250773753 1.38192e-08 -1.10204559379e-16 -3.42126597861e-15 -204.24149911 57.2294249185 -7.0759e-09 57.2294265628
1 2.10550775497 -13.4589185943 56.6516352563 20 -65.1766048106 -2.49378838085e-16 3.17763340187 -12.6611456793 8.789e-09 -6.07895604203e-17 -3.64792274464e-15 -150.690027452 56.6516336655 3.8144e-09 56.6516350894
1 5.86777489769 -15.6573239813 57.3833884908 21 -20.9281249618 -5.5307221791e-18 13.8909804842 -11.7188196036 8.789e-09 -9.18686490233e-17 -3.45440897477e-15 -160.926918172 57.3833866298 -3.8144e-09 57.3833882756
1 0.173940122903 -18.4274077465 53.7454935498 22 -42.7552333802 -6.58625333532e-17 53.8422202605 -13.272118619 4.4603e-09 -3.74620626435e-17 -3.44283962317e-15 -174.72848004 53.7454920578 -1.44578e-08 53.7454933639
1 7.76494290446 -14.7757720647 59.8753100872 23 -101.551198638 -2.78970659547e-16 1.82681361412 -9.3589025132 4.4603e-09 -1.79923338853e-16 -3.64927698341e-15 -157.550717984 59.8753069879 1.44578e-08 59.875309909
1 8.27503100762 -24.0567765087 58.2660672577 24 -16.2468228726 1.07372925975e-17 56.0991630584 -6.94915866047 1.43285e-08 -9.57008123053e-17 -3.60983310615e-15 -165.083048483 58.266065276 -9.9667e-09 58.2660670349
1 10.5364186798 -11.493727085 58.4758207421 25 -83.8051766115 -2.68604884503e-16 -1.7646660109 -11.884316204 1.43285e-08 -9.96751839075e-17 -3.60040698656e-15 -167.897353661 58.4758183233 9.9667e-09 58.4758205407
1 17.7272301267 -27.6929952938 61.7280801233 26 -23.7196778211 -1.39155132032e-16 -23.4446030884 -15.9856567003 2.8053e-09 -2.56818733306e-16 -3.67102884542e-15 -173.748676102 61.7280772376 1.03002e-08 61.728079946
1 10.8768949259 -9.61026136445 53.7958796634 27 -63.7180278921 -6.43046983297e-17 23.8123741227 -16.0477590682 2.8053e-09 -1.30476192498e-16 -3.53954810018e-15 -163.448836761 53.795878515 -1.03002e-08 53.7958795196
1 3.80137309935 -6.772400195 60.496043663 28 -53.431757551 -6.33070382027e-17 52.0762255941 -5.49959352726 1.27555e-08 -4.08048563964e-17 -3.60103720675e-15 -143.460453848 73.6122743834 7.378e-09 60.4960436225
1 34550055.1193 -26077228.7831 38.7856896676 29 -53.268637568 -5.89365854111e-17 5.07782277047 -24144784.2194 1.27555e-08 -1.62192833799e-16 -3.50104049409e-15 -184.536338392 57.515184997 -7.378e-09 57.5151866953
1 8.5201524884 1.16332180597 58.1191304013 30 -82.2150199405 -2.58170021393e-16 20.5848583027 -3.66499607295 8.2639e-09 -1.37909210615e-16 -3.70636612495e-15 -166.001969477 58.1191286286 4.6287e-09 58.1191302477
