i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
1467 1467 1467 1467
0 0 0.07308 -8.42807
1 0 0.07308 8.42807
2 0 3.52044 -8.06742
3 0 3.52044 8.06742
4 0 3.33942 -8.09982
5 0 3.33942 8.09982
6 0 0.36903 -7.22377
7 0 0.37124 1.37662
8 0 0.36555 -1.37779
9 0 0.36561 7.22224
10 0 0.04305 -0.43514
11 0 0.37928 1.47108
12 0 0.37536 7.13641
13 0 0.3753 -1.46362
14 0 0.37536 -7.13331
15 0 0.25823 7.10666
16 0 0.26015 -1.49315
17 0 0.04203 -7.66739
18 0 0.04203 7.66739
19 0 0.08044 1.42503
20 0 0.3362 3.26971
21 0 0.2518 3.55356
22 0 0.15797 1.03239
23 0 0.16656 0.60281
24 0 3.85053 8.37632
25 0 3.85053 -8.37632
26 0 2.80359 -8.7334
27 0 2.80359 8.7334
28 0 0.16824 0.51149
29 0 0.03488 1.39408
30 0 0.07504 -0.38458
31 0 0.24247 0.24491
32 0 0.20713 1.06628
33 0 0.07817 -5.20367
34 0 0.34061 3.33121
35 0 0.35667 0.28055
36 0 3.80702 2.30115
37 0 3.80702 -2.30115
38 0 3.44572 -3.56194
39 0 3.44572 3.56194
40 0 3.45319 -3.34952
41 0 3.45319 3.34952
42 0 0.24524 7.17289
43 0 0.24524 -1.42711
44 0 0.0455 2.18525
45 0 0.04496 1.9323
46 0 0.04401 2.95355
47 0 0.0455 2.70195
48 0 2.13481 8.19404
49 0 2.13485 -8.19412
50 0 2.99809 -8.88653
51 0 2.99809 8.88653
52 0 0.28944 0.2808
53 0 0.15728 -0.01696
54 0 0.16727 3.11003
55 0 0.34195 7.59469
56 0 0.34443 -7.59641
57 0 0.15577 1.85861
58 0 3.6446 2.28034
59 0 3.6446 -2.28034
60 0 0.16387 -7.43014
61 0 0.16627 1.17057
62 0 0.16387 -1.16986
63 0 0.16387 7.43014
64 0 0.15987 -1.03098
65 0 0.04599 -5.26287
66 0 0.2178 3.84207
67 0 3.32624 5.03948
68 0 3.32624 -5.03948
69 0 3.25582 5.21066
70 0 3.25582 -5.21066
71 0 1.92769 8.75494
72 0 1.92769 -8.75494
73 0 0.20657 3.4896
74 0 0.72535 -8.06399
75 0 0.7295 8.06084
76 0 0.15963 1.79308
77 0 0.21194 -7.46557
78 0 0.21194 1.13443
79 0 0.21194 -1.13443
80 0 0.21194 7.46557
81 0 0.15963 3.0326
82 0 0.20826 -1.06559
83 0 0.31665 7.09031
84 0 0.31857 -1.5095
85 0 0.30849 -7.01952
86 0 0.07553 1.99595
87 0 0.07607 2.1209
88 0 0.07529 2.88945
89 0 0.07678 2.76585
90 0 0.07185 4.16286
91 0 0.25293 -7.28939
92 0 0.25249 -1.30869
93 0 0.25249 7.29131
94 0 3.50008 6.55854
95 0 3.50007 -6.55854
96 0 0.22758 4.54583
97 0 0.2276 6.59782
98 0 0.23043 2.6781
99 0 0.20965 2.75459
100 0 0.20738 2.90045
101 0 0.22302 2.97895
102 0 0.21519 1.90081
103 0 0.20242 1.98142
104 0 0.2073 2.13088
105 0 0.22805 2.20178
106 0 0.22778 0.47594
107 0 0.15898 -2.59089
108 0 0.29747 -7.24221
109 0 0.29392 -1.35762
110 0 0.29392 7.24238
111 0 3.32444 6.66415
112 0 3.32444 -6.66415
113 0 3.25019 -6.85313
114 0 3.25019 6.85313
115 0 3.51658 -4.71245
116 0 3.51658 4.71245
117 0 0.08816 -2.98173
118 0 0.27482 4.57919
119 0 0.27484 6.63119
120 0 3.31779 -7.01979
121 0 3.31779 7.01979
