i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
1400 1400 1400 1400
0 0 6.63e-10 8.372e-09
1 0 6.63e-10 -8.372e-09
2 0 2.598e-09 8.396e-09
3 0 2.691e-09 8.36e-09
4 0 2.67e-09 -8.422e-09
5 0 3.69e-10 -7.224e-09
6 0 3.71e-10 1.377e-09
7 0 3.66e-10 7.222e-09
8 0 4.3e-11 -4.35e-10
9 0 3.79e-10 1.471e-09
10 0 8.3e-11 -1.141e-09
11 0 3.75e-10 7.136e-09
12 0 3.75e-10 -7.133e-09
13 0 2.6e-10 7.107e-09
14 0 2.72e-10 -8.221e-09
15 0 2.72e-10 8.221e-09
16 0 8e-11 1.425e-09
17 0 3.36e-10 3.27e-09
18 0 2.52e-10 3.554e-09
19 0 1.58e-10 1.032e-09
20 0 2.4e-10 -2.831e-09
21 0 1.67e-10 6.03e-10
22 0 4.1e-11 -1.184e-09
23 0 4.625e-09 5.013e-09
24 0 4.625e-09 -5.013e-09
25 0 2.32e-10 -2.906e-09
26 0 5.067e-09 -4.161e-09
27 0 5.067e-09 4.161e-09
28 0 1.68e-10 5.11e-10
29 0 2.84e-10 -2.942e-09
30 0 1.77e-10 -5.763e-09
31 0 2.1e-10 -1.766e-09
32 0 3.5e-11 1.394e-09
33 0 7.5e-11 -3.85e-10
34 0 2.42e-10 2.45e-10
35 0 2.07e-10 1.066e-09
36 0 9.6e-11 -7.846e-09
37 0 9.6e-11 7.846e-09
38 0 3.41e-10 3.331e-09
39 0 3.57e-10 2.81e-10
40 0 1.63e-10 -1.719e-09
41 0 2.27e-10 -3.535e-09
42 0 2.25e-10 -6.599e-09
43 0 2.45e-10 7.173e-09
44 0 4.6e-11 2.185e-09
45 0 4.5e-11 1.932e-09
46 0 4.4e-11 2.954e-09
47 0 4.6e-11 2.702e-09
48 0 3.463e-09 5.919e-09
49 0 2.89e-10 2.81e-10
50 0 2.74e-10 -3.497e-09
51 0 2.73e-10 -6.634e-09
52 0 1.57e-10 -1.7e-11
53 0 1.67e-10 3.11e-09
54 0 1.56e-10 1.859e-09
55 0 7.245e-09 -9.988e-09
56 0 7.245e-09 9.988e-09
57 0 1.64e-10 -7.43e-09
58 0 1.66e-10 1.171e-09
59 0 1.64e-10 7.43e-09
60 0 1.6e-10 -1.031e-09
61 0 2.18e-10 3.842e-09
62 0 2.07e-10 3.49e-09
63 0 1.6e-10 1.793e-09
64 0 2.08e-10 -1.136e-09
65 0 2.12e-10 -7.466e-09
66 0 2.12e-10 1.134e-09
67 0 2.12e-10 7.466e-09
68 0 1.6e-10 3.033e-09
69 0 2.08e-10 -1.066e-09
70 0 3.18e-10 7.091e-09
71 0 3.08e-10 -7.02e-09
72 0 3.579e-09 -6.219e-09
73 0 3.577e-09 6.285e-09
74 0 7.6e-11 1.996e-09
75 0 7.6e-11 2.121e-09
76 0 7.5e-11 2.889e-09
77 0 7.7e-11 2.766e-09
78 0 7.2e-11 -6.211e-09
79 0 7.2e-11 -4.949e-09
80 0 7.2e-11 4.163e-09
81 0 2.28e-10 -7.955e-09
82 0 2.28e-10 7.955e-09
83 0 2.53e-10 -7.289e-09
84 0 2.52e-10 7.291e-09
85 0 1.66e-10 -1.177e-09
86 0 2.27e-10 6.082e-09
87 0 2.27e-10 6.598e-09
88 0 2.28e-10 4.546e-09
89 0 2.3e-10 2.678e-09
90 0 2.1e-10 2.755e-09
91 0 2.07e-10 2.9e-09
92 0 2.23e-10 2.979e-09
93 0 2.15e-10 1.901e-09
94 0 2.02e-10 1.981e-09
