Dwell (ms),Type I block,Type II block
0.625,5.02697,
0.6095,5.05647,
1,5.08981,
0.9065,5.09234,
0.7188,5.10049,
1.0313,5.15073,
1.2188,5.15236,
1.125,5.16234,
0.5,5.19933,
0.7185,5.20421,
0.7185,5.27775,
1.219,5.27929,
1.0313,5.308,
0.5,5.3296,
0.7187,5.34655,
0.5,5.35101,
0.5155,5.36207,
1.031,5.38718,
0.5155,5.39055,
0.625,5.39497,
0.6093,5.40691,
0.5,5.41295,
0.5,5.42804,
0.5155,5.44338,
0.844,5.44572,
0.5,5.46369,
1.9687,5.5004,
0.7187,5.50701,
0.9063,5.54088,
0.8122,5.55495,
0.9065,5.5671,
1.4372,5.57353,
1.656,5.57518,
1.406,5.58838,
0.5155,5.621,
0.7187,5.63544,
0.7185,5.65025,
0.8128,5.65449,
1.25,5.65575,
0.625,5.66422,
0.5156,5.66892,
1.0312,5.76851,
0.5155,5.79983,
1.125,5.85655,
0.7187,5.86256,
0.5315,5.92231,
1.125,5.92284,
1.2187,5.95736,
0.7185,5.95937,
1.0313,5.96004,
0.8122,5.97869,
0.5937,6.01831,
0.5,6.02919,
0.5155,6.03324,
0.8125,6.0779,
0.531,6.08753,
1.3437,6.10922,
0.7187,6.11335,
0.5155,6.12341,
1.0312,6.14469,
0.5,6.14876,
0.5,6.18708,
0.922,6.20024,
1.3438,6.21013,
0.625,6.21162,
0.625,6.21164,
1.0312,6.21609,
0.906,6.21793,
0.5155,6.27159,
0.625,6.27308,
0.5155,6.27326,
0.5937,6.27588,
2.0625,6.27711,
1.0159,6.27805,
0.5,6.28877,
0.594,6.29822,
0.9375,6.30942,
0.9062,6.3344,
0.7185,6.35949,
0.625,6.39025,
0.8122,6.39586,
0.5,6.40109,
0.922,6.40242,
1.031,6.40344,
0.9378,6.41727,
0.7185,6.41737,
0.625,6.4311,
0.5,6.43456,
0.7188,6.45026,
0.9375,6.45293,
0.8128,6.45564,
1.125,6.47272,
0.9063,6.49953,
0.5,6.51647,
0.5,6.54089,
0.594,6.55651,
2.1565,6.55755,
0.7185,6.55855,
1.125,6.55987,
1.031,6.58157,
1.0315,6.58212,
0.5,6.5941,
0.5,6.6298,
0.625,6.66348,
0.5937,6.67468,
1.0315,6.68013,
0.8438,6.69244,
0.5,6.70595,
0.5159,6.73951,
0.625,6.79905,
0.625,6.81493,
0.8281,6.85907,
0.844,6.86049,
0.5938,6.86616,
0.625,6.86913,
0.7187,6.88441,
0.625,6.89985,
0.8122,6.90179,
0.625,6.90859,
1.125,6.90955,
0.625,6.92007,
1.0312,6.92514,
0.9065,6.93111,
1.25,6.93628,
0.625,6.9465,
0.531,6.98126,
0.5155,6.9921,
0.7185,6.99863,
0.6092,7.05853,
0.5938,7.06473,
0.844,7.08208,
0.625,7.09683,
0.5935,7.09934,
0.8122,7.10166,
0.5157,7.1587,
0.625,7.22308,
0.5,7.27404,
1.5625,7.30919,
0.5938,7.32363,
0.8285,7.33317,
0.9375,7.34917,
0.5,7.35161,
0.7185,7.36116,
0.6095,7.40438,
0.5312,7.40589,
0.5159,7.43427,
0.8125,7.44283,
0.5315,7.50341,
0.5315,7.53986,
0.5938,7.57951,
0.9063,7.58118,
0.8125,7.5858,
0.5,7.60247,
0.8122,7.65016,
0.5935,7.66521,
0.8122,7.66634,
1.125,7.7297,
0.9375,7.73147,
0.625,7.74362,
0.7188,7.7912,
0.5157,7.79343,
1.5313,7.7977,
0.5313,7.81847,
0.5,7.82597,
0.5312,7.88108,
1.8438,7.92712,
0.625,7.94088,
1.125,8.04795,
0.5,8.07306,
0.5,8.07313,
0.5,8.08852,
0.5,8.10397,
0.625,8.21797,
1.6562,8.22285,
1.031,8.26818,
1.2185,8.29121,
0.5,8.30345,
0.5,8.30737,
0.6091,8.31224,
0.844,8.34084,
2.5625,8.37604,
0.5,8.37776,
0.7188,8.39076,
0.625,8.46447,
0.7188,8.47572,
0.5,8.53941,
